노선번호,정류장순서,정류장코드,정류장명,선탑건수합계,후탑건수합계,승차합계,하차합계,오전4시00분_승차건수(선탑_후탑),오전4시00분_하차건수,오전4시30분_승차건수(선탑_후탑),오전4시30분_하차건수,오전5시00분_승차건수(선탑_후탑),오전5시00분_하차건수,오전5시30분_승차건수(선탑_후탑),오전5시30분_하차건수,오전6시00분_승차건수(선탑_후탑),오전6시00분_하차건수,오전6시30분_승차건수(선탑_후탑),오전6시30분_하차건수,오전7시00분_승차건수(선탑_후탑),오전7시00분_하차건수,오전7시30분_승차건수(선탑_후탑),오전7시30분_하차건수,오전8시00분_승차건수(선탑_후탑),오전8시00분_하차건수,오전8시30분_승차건수(선탑_후탑),오전8시30분_하차건수,오전9시00분_승차건수(선탑_후탑),오전9시00분_하차건수,오전9시30분_승차건수(선탑_후탑),오전9시30분_하차건수,오전10시00분_승차건수(선탑_후탑),오전10시00분_하차건수,오전10시30분_승차건수(선탑_후탑),오전10시30분_하차건수,오전11시00분_승차건수(선탑_후탑),오전11시00분_하차건수,오전11시30분_승차건수(선탑_후탑),오전11시30분_하차건수,오후12시00분_승차건수(선탑_후탑),오후12시00분_하차건수,오후12시30분_승차건수(선탑_후탑),오후12시30분_하차건수,오후1시00분_승차건수(선탑_후탑),오후1시00분_하차건수,오후1시30분_승차건수(선탑_후탑),오후1시30분_하차건수,오후2시00분_승차건수(선탑_후탑),오후2시00분_하차건수,오후2시30분_승차건수(선탑_후탑),오후2시30분_하차건수,오후3시00분_승차건수(선탑_후탑),오후3시00분_하차건수,오후3시30분_승차건수(선탑_후탑),오후3시30분_하차건수,오후4시00분_승차건수(선탑_후탑),오후4시00분_하차건수,오후4시30분_승차건수(선탑_후탑),오후4시30분_하차건수,오후5시00분_승차건수(선탑_후탑),오후5시00분_하차건수,오후5시30분_승차건수(선탑_후탑),오후5시30분_하차건수,오후6시00분_승차건수(선탑_후탑),오후6시00분_하차건수,오후6시30분_승차건수(선탑_후탑),오후6시30분_하차건수,오후7시00분_승차건수(선탑_후탑),오후7시00분_하차건수,오후7시30분_승차건수(선탑_후탑),오후7시30분_하차건수,오후8시00분_승차건수(선탑_후탑),오후8시00분_하차건수,오후8시30분_승차건수(선탑_후탑),오후8시30분_하차건수,오후9시00분_승차건수(선탑_후탑),오후9시00분_하차건수,오후9시30분_승차건수(선탑_후탑),오후9시30분_하차건수,오후10시00분_승차건수(선탑_후탑),오후10시00분_하차건수,오후10시30분_승차건수(선탑_후탑),오후10시30분_하차건수,오후11시00분_승차건수(선탑_후탑),오후11시00분_하차건수,오후11시30분_승차건수(선탑_후탑),오후11시30분_하차건수,오전12시00분_승차건수(선탑_후탑),오전12시00분_하차건수,오전12시30분_승차건수(선탑_후탑),오전12시30분_하차건수,오전1시00분_승차건수(선탑_후탑),오전1시00분_하차건수,오전1시30분_승차건수(선탑_후탑),오전1시30분_승차합계,오전2시00분_승차건수(선탑_후탑),오전2시00분_하차건수,오전2시30분_승차건수(선탑_후탑),오전2시30분_하차건수,오전3시00분_승차건수(선탑_후탑),오전3시00분_하차건수,오전3시30분_승차건수(선탑_후탑),오전3시30분_하차건수
33,6,2613695,국립부산국악원,79,0,79,3,0,0,1,0,3,0,4,0,0,0,1,0,3,0,4,0,5,0,5,1,4,0,4,1,6,0,7,0,1,0,4,0,4,1,3,0,1,0,0,0,2,0,2,0,2,0,2,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,2614245,부산시민공원,77,11,88,25,0,0,1,1,0,1,4,0,1,0,1,0,3,0,1,2,5,1,6,1,3,1,4,0,4,1,4,2,4,2,2,0,4,0,2,1,3,0,3,0,4,2,1,0,0,1,2,0,3,0,0,0,1,2,3,2,5,1,1,1,1,3,2,0,3,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,2601410,화인아파트,224,6,230,12,0,0,0,0,13,0,4,0,5,0,6,0,14,0,8,0,13,0,6,0,9,1,15,3,7,0,7,0,9,0,10,0,3,1,4,0,6,0,5,0,11,0,12,1,8,0,5,0,6,1,1,0,11,1,12,0,2,0,3,2,4,1,2,0,2,0,2,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,2601411,정묘사,193,4,197,11,0,0,3,0,1,0,7,0,3,1,3,2,9,0,4,0,10,1,9,1,9,0,6,0,6,0,9,1,12,0,10,0,10,1,12,0,7,1,11,1,2,0,9,0,6,1,7,0,4,0,3,0,6,0,3,0,0,0,8,0,2,0,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10,2601412,양정현대아파트,157,23,180,24,0,0,6,1,4,0,4,2,2,0,0,0,3,1,2,0,5,1,6,0,10,1,9,0,3,0,8,0,3,0,9,1,3,2,3,2,6,0,9,0,4,0,2,1,8,0,8,3,5,1,7,0,8,2,14,1,11,1,4,1,4,0,3,1,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,11,2601267,하마정,93,10,103,21,0,0,5,1,1,0,2,2,1,1,0,0,2,2,0,0,4,1,1,2,4,0,1,1,2,0,2,0,4,0,1,1,2,1,3,3,3,0,2,1,3,0,4,1,1,0,3,0,11,2,3,0,6,1,7,0,11,0,3,0,2,0,0,0,0,0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,12,2601268,양정대원칸타빌,155,5,160,36,0,0,6,1,6,0,6,2,4,1,8,2,4,1,6,1,4,1,4,2,9,0,8,0,6,1,5,2,14,0,2,0,3,3,1,1,9,3,4,1,1,0,5,1,3,0,3,1,10,0,2,0,2,0,5,3,6,2,3,2,3,1,1,1,2,0,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,13,2621680,송상현광장,68,70,138,81,0,0,1,0,12,4,4,5,8,1,5,4,3,2,3,5,5,1,3,3,0,3,2,6,3,1,9,1,5,1,5,8,5,4,1,4,1,2,2,4,3,0,3,2,4,2,3,1,7,0,2,3,7,1,3,2,10,5,5,2,1,1,5,1,1,0,1,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,14,2621681,부전역,111,90,201,229,0,0,3,2,5,10,6,7,12,6,6,5,3,12,7,17,3,6,5,9,1,10,11,8,6,4,10,13,6,8,3,11,1,7,8,7,5,10,4,6,12,2,1,8,7,9,5,2,5,6,5,9,2,8,8,5,16,8,7,2,4,3,8,6,1,0,4,2,7,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,15,2621687,부전시장,311,156,467,169,0,0,3,1,4,2,6,2,4,3,0,1,8,5,4,1,2,3,3,11,2,7,9,7,18,7,23,5,15,5,14,10,13,5,21,9,14,8,14,2,22,4,12,8,29,8,17,5,36,4,11,8,21,10,16,7,35,8,27,5,17,2,14,1,4,1,4,1,11,0,8,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
